ZIP,TERMINAL,SERVICEOUTBOUND,DAYSOUTBOUND,SERVICEINBOUND,DAYSINBOUND
1472,MA001,D,4,D,4
1473,MA001,D,4,D,4
1474,MA001,D,4,D,4
1475,MA001,D,4,D,4
1501,MA001,D,3,D,3
1503,MA001,D,3,D,3
1504,MA001,D,3,D,3
1505,MA001,D,3,D,3
1506,MA001,D,4,D,4
1507,MA001,D,4,D,4
1508,MA001,D,4,D,4
1509,MA001,D,4,D,4
1510,MA001,D,3,D,3
1515,MA001,D,4,D,4
1516,MA001,D,3,D,3
1518,MA001,D,4,D,4
1519,MA001,D,3,D,3
1520,MA001,D,4,D,4
1521,MA001,D,4,D,4
1522,MA001,D,4,D,4
1523,MA001,D,3,D,3
1524,MA001,D,4,D,4
1525,MA001,D,3,D,3
1526,MA001,D,3,D,3
1527,MA001,D,3,D,3
1529,MA001,D,3,D,3
1531,MA001,D,4,D,4
1532,MA001,D,3,D,3
1534,MA001,D,3,D,3
1535,MA001,D,4,D,4
1536,MA001,D,3,D,3
1537,MA001,D,4,D,4
1538,MA001,D,3,D,3
1540,MA001,D,4,D,4
1541,MA001,D,4,D,4
1542,MA001,D,4,D,4
1543,MA001,D,4,D,4
1545,MA001,D,3,D,3
1546,MA001,D,3,D,3
1550,MA001,D,4,D,4
1560,MA001,D,3,D,3
1561,MA001,D,3,D,3
1562,MA001,D,4,D,4
1564,MA001,D,4,D,4
1566,MA001,D,4,D,4
1568,MA001,D,3,D,3
1569,MA001,D,3,D,3
1570,MA001,D,3,D,3
1571,MA001,D,4,D,4
1581,MA001,D,3,D,3
1583,MA001,D,4,D,4
1585,MA001,D,4,D,4
1586,MA001,D,3,D,3
1588,MA001,D,3,D,3
1590,MA001,D,3,D,3
1601,MA001,D,8,D,8
1602,MA001,D,3,D,3
1603,MA001,D,3,D,3
1604,MA001,D,3,D,3
1605,MA001,D,3,D,3
1606,MA001,D,3,D,3
1607,MA001,D,3,D,3
1608,MA001,D,3,D,3
1609,MA001,D,3,D,3
1610,MA001,D,3,D,3
1611,MA001,D,4,D,4
1612,MA001,D,4,D,4
1613,MA001,D,3,D,3
1614,MA001,D,3,D,3
1615,MA001,D,8,D,8
1653,MA001,D,3,D,3
1655,MA001,D,3,D,3
1701,MA001,D,3,D,3
1702,MA001,D,3,D,3
1703,MA001,D,8,D,8
1704,MA001,D,8,D,8
1705,MA001,D,8,D,8
1718,MA001,D,3,D,3
1719,MA001,D,3,D,3
1720,MA001,D,3,D,3
1721,MA001,D,3,D,3
1730,MA001,D,3,D,3
1731,MA001,D,3,D,3
1740,MA001,D,3,D,3
1741,MA001,D,4,D,4
1742,MA001,D,3,D,3
1745,MA001,D,3,D,3
1746,MA001,D,3,D,3
1747,MA001,D,3,D,3
1748,MA001,D,3,D,3
1749,MA001,D,3,D,3
1752,MA001,D,3,D,3
1754,MA001,D,3,D,3
1756,MA001,D,3,D,3
1757,MA001,D,3,D,3
1760,MA001,D,3,D,3
1770,MA001,D,3,D,3
1772,MA001,D,3,D,3
1773,MA001,D,3,D,3
1775,MA001,D,3,D,3
1776,MA001,D,3,D,3
1778,MA001,D,3,D,3
1784,MA001,D,3,D,3
1801,MA001,D,3,D,3
1803,MA001,D,3,D,3
1805,MA001,D,3,D,3
1810,MA001,D,4,D,4
1812,MA001,D,4,D,4
1813,MA001,D,3,D,3
1815,MA001,D,3,D,3
1821,MA001,D,3,D,3
1822,MA001,D,3,D,3
1824,MA001,D,4,D,4
1826,MA001,D,4,D,4
1827,MA001,D,4,D,4
1830,MA001,D,4,D,4
1831,MA001,D,4,D,4
1832,MA001,D,4,D,4
1833,MA001,D,4,D,4
1834,MA001,D,4,D,4
1835,MA001,D,4,D,4
1840,MA001,D,4,D,4
1841,MA001,D,4,D,4
1842,MA001,D,4,D,4
1843,MA001,D,4,D,4
1844,MA001,D,4,D,4
1845,MA001,D,4,D,4
1850,MA001,D,4,D,4
1851,MA001,D,4,D,4
1852,MA001,D,4,D,4
1853,MA001,D,8,D,8
1854,MA001,D,4,D,4
1860,MA001,D,4,D,4
1862,MA001,D,4,D,4
1863,MA001,D,4,D,4
1864,MA001,D,4,D,4
1865,MA001,D,3,D,3
1866,MA001,D,3,D,3
1867,MA001,D,4,D,4
1876,MA001,D,4,D,4
1879,MA001,D,4,D,4
1880,MA001,D,4,D,4
1885,MA001,D,4,D,4
1886,MA001,D,4,D,4
1887,MA001,D,3,D,3
1888,MA001,D,3,D,3
1889,MA001,D,3,D,3
1890,MA001,D,3,D,3
1899,MA001,D,4,D,4
1901,MA001,D,3,D,3
1902,MA001,D,3,D,3
1903,MA001,D,8,D,8
1904,MA001,D,3,D,3
1905,MA001,D,3,D,3
1906,MA001,D,3,D,3
1907,MA001,D,3,D,3
1908,MA001,D,4,D,4
1910,MA001,D,3,D,3
1913,MA001,D,4,D,4
1915,MA001,D,4,D,4
1921,MA001,D,4,D,4
1922,MA001,D,4,D,4
1923,MA001,D,4,D,4
1929,MA001,D,4,D,4
1930,MA001,D,4,D,4
1931,MA001,D,4,D,4
1936,MA001,D,4,D,4
1937,MA001,D,4,D,4
1938,MA001,D,4,D,4
1940,MA001,D,4,D,4
1944,MA001,D,4,D,4
1945,MA001,D,4,D,4
1949,MA001,D,4,D,4
1950,MA001,D,4,D,4
1951,MA001,D,4,D,4
1952,MA001,D,4,D,4
1960,MA001,D,4,D,4
1961,MA001,D,4,D,4
1965,MA001,D,4,D,4
1966,MA001,D,4,D,4
1969,MA001,D,4,D,4
1970,MA001,D,3,D,3
1971,MA001,D,4,D,4
1982,MA001,D,4,D,4
1983,MA001,D,4,D,4
1984,MA001,D,4,D,4
1985,MA001,D,4,D,4
2018,MA001,D,3,D,3
2019,MA001,D,3,D,3
2020,MA001,D,3,D,3
2021,MA001,D,3,D,3
2025,MA001,D,3,D,3
2026,MA001,D,3,D,3
2027,MA001,D,3,D,3
2030,MA001,D,3,D,3
2032,MA001,D,3,D,3
2035,MA001,D,3,D,3
2038,MA001,D,3,D,3
2040,MA001,D,3,D,3
2041,MA001,D,3,D,3
2043,MA001,D,3,D,3
2044,MA001,D,3,D,3
2045,MA001,D,3,D,3
2047,MA001,D,3,D,3
2048,MA001,D,3,D,3
2050,MA001,D,3,D,3
2051,MA001,D,3,D,3
2052,MA001,D,3,D,3
2053,MA001,D,3,D,3
2054,MA001,D,3,D,3
2055,MA001,D,3,D,3
2056,MA001,D,3,D,3
2059,MA001,D,3,D,3
2060,MA001,D,3,D,3
2061,MA001,D,3,D,3
2062,MA001,D,3,D,3
2065,MA001,D,3,D,3
2066,MA001,D,3,D,3
2067,MA001,D,3,D,3
2070,MA001,D,3,D,3
2071,MA001,D,3,D,3
2072,MA001,D,3,D,3
2081,MA001,D,3,D,3
2090,MA001,D,3,D,3
2093,MA001,D,3,D,3
2108,MA001,D,3,D,3
2109,MA001,D,3,D,3
2110,MA001,D,3,D,3
2111,MA001,D,3,D,3
2112,MA001,D,8,D,8
2113,MA001,D,3,D,3
2114,MA001,D,3,D,3
2115,MA001,D,3,D,3
2116,MA001,D,3,D,3
2117,MA001,D,8,D,8
2118,MA001,D,3,D,3
2119,MA001,D,3,D,3
2120,MA001,D,3,D,3
2121,MA001,D,3,D,3
2122,MA001,D,3,D,3
2123,MA001,D,8,D,8
2124,MA001,D,3,D,3
2125,MA001,D,3,D,3
2126,MA001,D,3,D,3
2127,MA001,D,3,D,3
2128,MA001,D,3,D,3
2129,MA001,D,3,D,3
2130,MA001,D,3,D,3
2131,MA001,D,3,D,3
2132,MA001,D,3,D,3
2133,MA001,D,3,D,3
2134,MA001,D,3,D,3
2135,MA001,D,3,D,3
2136,MA001,D,3,D,3
2137,MA001,D,8,D,8
2138,MA001,D,3,D,3
2139,MA001,D,3,D,3
2140,MA001,D,3,D,3
2141,MA001,D,3,D,3
2142,MA001,D,3,D,3
2143,MA001,D,3,D,3
2144,MA001,D,3,D,3
2145,MA001,D,3,D,3
2148,MA001,D,3,D,3
2149,MA001,D,3,D,3
2150,MA001,D,3,D,3
2151,MA001,D,3,D,3
2152,MA001,D,3,D,3
2153,MA001,D,8,D,8
2155,MA001,D,3,D,3
2156,MA001,D,3,D,3
2163,MA001,D,3,D,3
2169,MA001,D,3,D,3
2170,MA001,D,3,D,3
2171,MA001,D,3,D,3
2176,MA001,D,3,D,3
2180,MA001,D,3,D,3
2184,MA001,D,3,D,3
2185,MA001,D,8,D,8
2186,MA001,D,3,D,3
2187,MA001,D,3,D,3
2188,MA001,D,3,D,3
2189,MA001,D,3,D,3
2190,MA001,D,3,D,3
2191,MA001,D,3,D,3
2196,MA001,D,8,D,8
2199,MA001,D,3,D,3
2201,MA001,D,3,D,3
2203,MA001,D,3,D,3
2204,MA001,D,3,D,3
2205,MA001,D,3,D,3
2206,MA001,D,3,D,3
2210,MA001,D,3,D,3
2211,MA001,D,3,D,3
2212,MA001,D,3,D,3
2215,MA001,D,3,D,3
2217,MA001,D,3,D,3
2222,MA001,D,3,D,3
2228,MA001,D,8,D,8
2238,MA001,D,3,D,3
2241,MA001,D,3,D,3
2266,MA001,D,3,D,3
2269,MA001,D,3,D,3
2283,MA001,D,3,D,3
2284,MA001,D,3,D,3
