LOWZIP,HIGHZIP,TERMINAL,SERV_IN,SERV_OUT,DAYS_IN,DAYS_OUT
32776,32780,FL001,D,3,3,D
32781,32783,FL001,D,8,8,D
32784,32789,FL001,D,3,3,D
32790,32791,FL001,D,8,8,D
32792,32792,FL001,D,3,3,D
32793,32793,FL001,D,8,8,D
32794,32794,FL001,D,3,3,D
32795,32795,FL001,D,8,8,D
32796,32814,FL001,D,3,3,D
32815,32815,FL001,D,4,4,D
32816,32839,FL001,D,3,3,D
32853,32861,FL001,D,8,8,D
32862,32862,FL001,D,3,3,D
32867,32878,FL001,D,8,8,D
32885,32899,FL001,D,3,3,D
32901,32901,FL001,D,4,4,D
32902,32902,FL001,D,8,8,D
32903,32905,FL001,D,4,4,D
32906,32906,FL001,D,8,8,D
32907,32909,FL001,D,4,4,D
32910,32912,FL001,D,8,8,D
32919,32919,FL001,D,4,4,D
32920,32922,FL001,D,3,3,D
32923,32923,FL001,D,8,8,D
32924,32924,FL001,D,3,3,D
32925,32925,FL001,D,4,4,D
32926,32927,FL001,D,3,3,D
32931,32935,FL001,D,4,4,D
32936,32936,FL001,D,8,8,D
32937,32940,FL001,D,4,4,D
32941,32941,FL001,D,8,8,D
32948,32948,FL003,D,8,8,D
32949,32951,FL001,D,4,4,D
32952,32953,FL001,D,3,3,D
32954,32954,FL001,D,8,8,D
32955,32956,FL001,D,3,3,D
32957,32957,FL001,D,4,4,D
32958,32958,FL003,D,4,4,D
32959,32959,FL001,D,3,3,D
32960,32960,FL003,D,4,4,D
32961,32961,FL003,D,8,8,D
32962,32963,FL003,D,4,4,D
32964,32965,FL003,D,8,8,D
32966,32966,FL003,D,4,4,D
32967,32967,FL003,D,8,8,D
32968,32968,FL003,D,4,4,D
32969,32971,FL003,D,8,8,D
32976,32976,FL001,D,4,4,D
32978,32978,FL003,D,8,8,D
33001,33001,FL004,D,4,4,D
33002,33016,FL004,D,3,3,D
33017,33017,FL004,D,8,8,D
33018,33035,FL004,D,3,3,D
33036,33037,FL004,D,4,4,D
33039,33039,FL004,D,3,3,D
33040,33041,FL004,D,8,8,D
33042,33043,FL004,D,4,4,D
33045,33045,FL004,D,8,8,D
33050,33051,FL004,D,4,4,D
33052,33052,FL004,D,8,8,D
33054,33060,FL004,D,3,3,D
33061,33061,FL004,D,8,8,D
33062,33069,FL004,D,3,3,D
33070,33070,FL004,D,4,4,D
33071,33071,FL004,D,3,3,D
33072,33072,FL004,D,8,8,D
33073,33073,FL004,D,3,3,D
33074,33075,FL004,D,8,8,D
33076,33076,FL004,D,3,3,D
33077,33081,FL004,D,8,8,D
33082,33082,FL004,D,3,3,D
33083,33097,FL004,D,8,8,D
33101,33101,FL004,D,3,3,D
33102,33102,FL004,D,8,8,D
33106,33112,FL004,D,3,3,D
33114,33114,FL004,D,8,8,D
33116,33122,FL004,D,3,3,D
33124,33124,FL004,D,8,8,D
33125,33163,FL004,D,3,3,D
33164,33164,FL004,D,8,8,D
33165,33206,FL004,D,3,3,D
33222,33247,FL004,D,8,8,D
33255,33257,FL004,D,3,3,D
33261,33265,FL004,D,8,8,D
33266,33266,FL004,D,3,3,D
33269,33280,FL004,D,8,8,D
33283,33283,FL004,D,3,3,D
33296,33296,FL004,D,8,8,D
33299,33301,FL004,D,3,3,D
33302,33303,FL004,D,8,8,D
33304,33306,FL004,D,3,3,D
33307,33307,FL004,D,8,8,D
33308,33317,FL004,D,3,3,D
33318,33318,FL004,D,8,8,D
33319,33319,FL004,D,3,3,D
33320,33320,FL004,D,8,8,D
33321,33328,FL004,D,3,3,D
33329,33329,FL004,D,8,8,D
