LOWZIP,HIGHZIP,TERMINAL,SERV_IN,SERV_OUT,DAYS_IN,DAYS_OUT
501,501,NY001,D,3,3,D
1001,1003,CT001,D,3,3,D
1004,1004,CT001,D,8,8,D
1005,1005,CT001,D,4,4,D
1007,1011,CT001,D,3,3,D
1012,1012,CT001,D,4,4,D
1013,1013,CT001,D,3,3,D
1014,1014,CT001,D,8,8,D
1020,1020,CT001,D,3,3,D
1021,1021,CT001,D,8,8,D
1022,1022,CT001,D,3,3,D
1026,1026,CT001,D,4,4,D
1027,1030,CT001,D,3,3,D
1031,1032,CT001,D,4,4,D
1033,1036,CT001,D,3,3,D
1037,1037,CT001,D,4,4,D
1038,1053,CT001,D,3,3,D
1054,1054,CT001,D,4,4,D
1056,1066,CT001,D,3,3,D
1068,1068,CT001,D,4,4,D
1069,1069,CT001,D,3,3,D
1070,1070,CT001,D,4,4,D
1071,1071,CT001,D,3,3,D
1072,1072,CT001,D,4,4,D
1073,1073,CT001,D,3,3,D
1074,1074,CT001,D,4,4,D
1075,1082,CT001,D,3,3,D
1083,1084,CT001,D,4,4,D
1085,1089,CT001,D,3,3,D
1090,1090,CT001,D,8,8,D
1092,1093,CT001,D,3,3,D
1094,1094,CT001,D,4,4,D
1095,1097,CT001,D,3,3,D
1098,1098,CT001,D,4,4,D
1101,1101,CT001,D,3,3,D
1102,1102,CT001,D,8,8,D
1103,1111,CT001,D,3,3,D
1115,1116,CT001,D,8,8,D
1118,1129,CT001,D,3,3,D
1138,1139,CT001,D,8,8,D
1144,1199,CT001,D,3,3,D
1201,1202,CT001,D,4,4,D
1203,1203,CT001,D,8,8,D
1220,1220,CT001,D,4,4,D
1222,1222,CT001,D,3,3,D
1223,1252,CT001,D,4,4,D
1253,1253,CT001,D,3,3,D
1254,1258,CT001,D,4,4,D
1259,1259,CT001,D,3,3,D
1260,1301,CT001,D,4,4,D
1302,1302,CT001,D,8,8,D
1330,1370,CT001,D,4,4,D
1373,1373,CT001,D,3,3,D
1375,1380,CT001,D,4,4,D
1420,1464,MA001,D,4,4,D
1467,1467,MA001,D,3,3,D
1468,1475,MA001,D,4,4,D
1501,1505,MA001,D,3,3,D
1506,1509,MA001,D,4,4,D
1510,1510,MA001,D,3,3,D
1515,1515,MA001,D,4,4,D
1516,1516,MA001,D,3,3,D
1518,1518,MA001,D,4,4,D
1519,1519,MA001,D,3,3,D
1520,1522,MA001,D,4,4,D
1523,1523,MA001,D,3,3,D
1524,1524,MA001,D,4,4,D
1525,1529,MA001,D,3,3,D
1531,1531,MA001,D,4,4,D
1532,1534,MA001,D,3,3,D
1535,1535,MA001,D,4,4,D
1536,1536,MA001,D,3,3,D
1537,1537,MA001,D,4,4,D
1538,1538,MA001,D,3,3,D
1540,1543,MA001,D,4,4,D
1545,1546,MA001,D,3,3,D
1550,1550,MA001,D,4,4,D
1560,1561,MA001,D,3,3,D
1562,1566,MA001,D,4,4,D
1568,1570,MA001,D,3,3,D
1571,1571,MA001,D,4,4,D
1581,1581,MA001,D,3,3,D
1583,1585,MA001,D,4,4,D
1586,1590,MA001,D,3,3,D
1601,1601,MA001,D,8,8,D
1602,1610,MA001,D,3,3,D
1611,1612,MA001,D,4,4,D
1613,1614,MA001,D,3,3,D
1615,1615,MA001,D,8,8,D
1653,1702,MA001,D,3,3,D
1703,1705,MA001,D,8,8,D
1718,1740,MA001,D,3,3,D
1741,1741,MA001,D,4,4,D
1742,1805,MA001,D,3,3,D
1810,1812,MA001,D,4,4,D
1813,1822,MA001,D,3,3,D
1824,1852,MA001,D,4,4,D
1853,1853,MA001,D,8,8,D
1854,1864,MA001,D,4,4,D
1865,1866,MA001,D,3,3,D
1867,1886,MA001,D,4,4,D
1887,1890,MA001,D,3,3,D
1899,1899,MA001,D,4,4,D
1901,1902,MA001,D,3,3,D
1903,1903,MA001,D,8,8,D
1904,1907,MA001,D,3,3,D
1908,1908,MA001,D,4,4,D
1910,1910,MA001,D,3,3,D
1913,1969,MA001,D,4,4,D
1970,1970,MA001,D,3,3,D
1971,1985,MA001,D,4,4,D
2018,2111,MA001,D,3,3,D
2112,2112,MA001,D,8,8,D
2113,2116,MA001,D,3,3,D
2117,2117,MA001,D,8,8,D
2118,2122,MA001,D,3,3,D
2123,2123,MA001,D,8,8,D
2124,2136,MA001,D,3,3,D
2137,2137,MA001,D,8,8,D
2138,2152,MA001,D,3,3,D
2153,2153,MA001,D,8,8,D
2155,2184,MA001,D,3,3,D
2185,2185,MA001,D,8,8,D
2186,2191,MA001,D,3,3,D
2196,2196,MA001,D,8,8,D
2199,2222,MA001,D,3,3,D
2228,2228,MA001,D,8,8,D
2238,2297,MA001,D,3,3,D
2298,2298,MA001,D,8,8,D
2301,2302,MA001,D,3,3,D
2303,2305,MA001,D,8,8,D
2322,2468,MA001,D,3,3,D
2471,2471,MA001,D,8,8,D
2472,2534,MA001,D,3,3,D
2535,2535,MA001,D,8,8,D
2536,2536,MA001,D,4,4,D
2537,2538,MA001,D,3,3,D
2539,2539,MA001,D,8,8,D
2540,2540,MA001,D,4,4,D
2541,2541,MA001,D,8,8,D
2542,2543,MA001,D,4,4,D
2552,2552,MA001,D,8,8,D
2553,2553,MA001,D,3,3,D
2554,2554,MA001,D,8,8,D
2556,2556,MA001,D,3,3,D
2557,2557,MA001,D,8,8,D
2558,2563,MA001,D,3,3,D
2564,2568,MA001,D,8,8,D
2571,2574,MA001,D,3,3,D
2575,2575,MA001,D,8,8,D
2576,2576,MA001,D,3,3,D
2584,2584,MA001,D,8,8,D
2601,2643,MA001,D,4,4,D
2644,2644,MA001,D,3,3,D
2645,2675,MA001,D,4,4,D
2702,2740,MA001,D,3,3,D
2741,2742,MA001,D,8,8,D
2743,2760,MA001,D,3,3,D
2761,2761,MA001,D,8,8,D
2762,2802,MA001,D,3,3,D
2804,2804,MA001,D,4,4,D
2806,2806,MA001,D,3,3,D
2807,2807,MA001,D,8,8,D
2808,2808,MA001,D,4,4,D
2809,2809,MA001,D,3,3,D
2812,2813,MA001,D,4,4,D
2814,2831,MA001,D,3,3,D
2832,2833,MA001,D,4,4,D
2835,2835,MA001,D,3,3,D
2836,2836,MA001,D,4,4,D
2837,2861,MA001,D,3,3,D
2862,2862,MA001,D,8,8,D
2863,2872,MA001,D,3,3,D
2873,2875,MA001,D,4,4,D
2876,2878,MA001,D,3,3,D
2879,2882,MA001,D,4,4,D
2883,2883,MA001,D,8,8,D
2885,2886,MA001,D,3,3,D
2887,2887,MA001,D,8,8,D
2888,2889,MA001,D,3,3,D
2891,2892,MA001,D,4,4,D
2893,2893,MA001,D,3,3,D
2894,2894,MA001,D,4,4,D
2895,2896,MA001,D,3,3,D
2898,2898,MA001,D,4,4,D
2901,2901,MA001,D,8,8,D
2902,2921,MA001,D,3,3,D
2940,2940,MA001,D,8,8,D
3031,3060,MA001,D,4,4,D
3061,3061,MA001,D,8,8,D
3062,3104,MA001,D,4,4,D
3105,3105,MA001,D,8,8,D
3106,3106,MA001,D,4,4,D
3108,3108,MA001,D,8,8,D
3109,3111,MA001,D,4,4,D
3215,3215,MA001,D,8,8,D
3216,3222,MA001,D,4,4,D
3223,3223,MA001,D,8,8,D
3224,3226,MA001,D,4,4,D
3227,3227,MA001,D,8,8,D
3229,3237,MA001,D,4,4,D
3238,3238,MA001,D,8,8,D
3240,3249,MA001,D,4,4,D
3251,3251,MA001,D,8,8,D
3252,3258,MA001,D,4,4,D
3259,3259,MA001,D,8,8,D
3260,3261,MA001,D,4,4,D
3262,3262,MA001,D,8,8,D
3263,3264,MA001,D,4,4,D
3266,3266,MA001,D,8,8,D
3268,3278,MA001,D,4,4,D
3279,3279,MA001,D,8,8,D
3280,3281,MA001,D,4,4,D
3282,3282,MA001,D,8,8,D
3284,3284,MA001,D,4,4,D
3285,3285,MA001,D,8,8,D
3287,3291,MA001,D,4,4,D
3293,3293,MA001,D,8,8,D
3299,3301,MA001,D,4,4,D
3302,3302,MA001,D,8,8,D
3303,3470,MA001,D,4,4,D
3561,3598,MA001,D,8,8,D
3601,3609,MA001,D,4,4,D
3740,3740,MA001,D,8,8,D
3741,3741,MA001,D,4,4,D
3743,3748,MA001,D,8,8,D
3749,3749,MA001,D,4,4,D
3750,3750,MA001,D,8,8,D
3751,3754,MA001,D,4,4,D
3755,3771,MA001,D,8,8,D
3773,3773,MA001,D,4,4,D
3774,3781,MA001,D,8,8,D
3782,3782,MA001,D,4,4,D
3784,3785,MA001,D,8,8,D
3801,3811,MA001,D,4,4,D
3812,3814,MA001,D,8,8,D
3815,3816,MA001,D,4,4,D
3817,3818,MA001,D,8,8,D
3819,3820,MA001,D,4,4,D
3821,3821,MA001,D,8,8,D
3822,3830,MA001,D,4,4,D
3832,3832,MA001,D,8,8,D
3833,3835,MA001,D,4,4,D
3836,3836,MA001,D,8,8,D
3837,3837,MA001,D,4,4,D
3838,3838,MA001,D,8,8,D
3839,3842,MA001,D,4,4,D
3843,3843,MA001,D,8,8,D
3844,3844,MA001,D,4,4,D
3845,3847,MA001,D,8,8,D
3848,3848,MA001,D,4,4,D
3849,3850,MA001,D,8,8,D
3851,3859,MA001,D,4,4,D
3860,3860,MA001,D,8,8,D
3861,3874,MA001,D,4,4,D
3875,3875,MA001,D,8,8,D
3878,3878,MA001,D,4,4,D
3882,3883,MA001,D,8,8,D
3884,3885,MA001,D,4,4,D
3886,3886,MA001,D,8,8,D
3887,3887,MA001,D,4,4,D
3890,3890,MA001,D,8,8,D
3894,3896,MA001,D,4,4,D
3897,3897,MA001,D,8,8,D
3901,4002,MA001,D,4,4,D
4003,4003,MA001,D,8,8,D
4004,4006,MA001,D,4,4,D
4007,4013,MA001,D,8,8,D
4014,4014,MA001,D,4,4,D
4015,4024,MA001,D,8,8,D
4027,4027,MA001,D,4,4,D
4028,4029,MA001,D,8,8,D
4030,4030,MA001,D,4,4,D
4032,4041,MA001,D,8,8,D
4042,4046,MA001,D,4,4,D
4047,4051,MA001,D,8,8,D
4054,4054,MA001,D,4,4,D
4055,4055,MA001,D,8,8,D
4056,4056,MA001,D,4,4,D
4057,4057,MA001,D,8,8,D
4061,4061,MA001,D,4,4,D
4062,4062,MA001,D,8,8,D
4063,4064,MA001,D,4,4,D
4066,4071,MA001,D,8,8,D
4072,4076,MA001,D,4,4,D
4077,4082,MA001,D,8,8,D
4083,4083,MA001,D,4,4,D
4084,4086,MA001,D,8,8,D
4087,4087,MA001,D,4,4,D
4088,4088,MA001,D,8,8,D
4090,4090,MA001,D,4,4,D
4091,4091,MA001,D,8,8,D
4092,4095,MA001,D,4,4,D
4096,4097,MA001,D,8,8,D
4098,4102,MA001,D,4,4,D
4103,4105,MA001,D,8,8,D
4106,4106,MA001,D,4,4,D
4107,4116,MA001,D,8,8,D
4122,4124,MA001,D,4,4,D
4210,4992,MA001,D,8,8,D
5001,5049,VT001,D,4,4,D
5050,5050,MA001,D,8,8,D
5051,5262,VT001,D,4,4,D
5301,5304,VT001,D,8,8,D
5340,5341,VT001,D,4,4,D
5342,5342,VT001,D,8,8,D
5343,5343,VT001,D,4,4,D
5344,5345,VT001,D,8,8,D
5346,5346,VT001,D,4,4,D
5350,5354,VT001,D,8,8,D
5355,5356,VT001,D,4,4,D
5357,5358,VT001,D,8,8,D
5359,5360,VT001,D,4,4,D
5361,5363,VT001,D,8,8,D
5401,5405,VT001,D,3,3,D
5406,5407,VT001,D,8,8,D
5408,5470,VT001,D,3,3,D
5471,5471,VT001,D,4,4,D
5472,5495,VT001,D,3,3,D
5501,5501,MA001,D,4,4,D
5601,5633,VT001,D,3,3,D
5640,5640,VT001,D,4,4,D
5641,5641,VT001,D,3,3,D
5647,5650,VT001,D,4,4,D
5651,5653,VT001,D,3,3,D
5654,5654,VT001,D,4,4,D
5655,5656,VT001,D,3,3,D
5657,5658,VT001,D,4,4,D
5660,5663,VT001,D,3,3,D
5664,5664,MA001,D,8,8,D
5665,5665,VT001,D,3,3,D
5666,5669,VT001,D,4,4,D
5670,5674,VT001,D,3,3,D
5675,5675,VT001,D,4,4,D
5676,5677,VT001,D,3,3,D
5678,5681,VT001,D,4,4,D
5682,5682,VT001,D,3,3,D
5701,5701,VT001,D,4,4,D
5702,5702,VT001,D,8,8,D
5730,5733,VT001,D,4,4,D
5734,5734,VT001,D,3,3,D
5735,5739,VT001,D,4,4,D
5740,5740,VT001,D,3,3,D
5741,5751,VT001,D,4,4,D
5753,5753,VT001,D,3,3,D
5757,5769,VT001,D,4,4,D
5770,5770,VT001,D,3,3,D
5772,5901,VT001,D,4,4,D
5902,5902,MA001,D,8,8,D
5903,5903,VT001,D,4,4,D
5904,5904,MA001,D,8,8,D
5905,5907,VT001,D,4,4,D
6001,6010,CT001,D,3,3,D
6011,6011,CT001,D,8,8,D
6013,6033,CT001,D,3,3,D
6034,6034,CT001,D,8,8,D
6035,6037,CT001,D,3,3,D
6039,6039,CT001,D,4,4,D
6040,6043,CT001,D,3,3,D
6045,6045,CT001,D,8,8,D
6050,6067,CT001,D,3,3,D
6068,6069,CT001,D,4,4,D
6070,6078,CT001,D,3,3,D
6079,6079,CT001,D,4,4,D
6080,6082,CT001,D,3,3,D
6083,6083,CT001,D,8,8,D
6084,6093,CT001,D,3,3,D
6094,6094,CT001,D,8,8,D
6095,6103,CT001,D,3,3,D
6104,6104,CT001,D,8,8,D
6105,6120,CT001,D,3,3,D
6123,6134,CT001,D,8,8,D
6137,6138,CT001,D,3,3,D
6140,6147,CT001,D,8,8,D
6150,6232,CT001,D,3,3,D
6233,6233,CT001,D,4,4,D
6234,6238,CT001,D,3,3,D
6239,6239,CT001,D,4,4,D
6241,6244,CT001,D,3,3,D
6245,6246,CT001,D,4,4,D
6247,6254,CT001,D,3,3,D
6255,6255,CT001,D,4,4,D
6256,6269,CT001,D,3,3,D
6277,6277,CT001,D,4,4,D
6278,6282,CT001,D,3,3,D
6320,6330,CT001,D,4,4,D
6331,6331,CT001,D,3,3,D
6332,6332,CT001,D,4,4,D
6333,6334,CT001,D,3,3,D
6335,6335,CT001,D,4,4,D
6336,6336,CT001,D,3,3,D
6338,6349,CT001,D,4,4,D
6350,6350,CT001,D,3,3,D
6351,6359,CT001,D,4,4,D
6360,6360,CT001,D,3,3,D
6365,6365,CT001,D,4,4,D
6370,6371,CT001,D,3,3,D
6372,6379,CT001,D,4,4,D
6380,6380,CT001,D,3,3,D
6382,6382,CT001,D,4,4,D
6383,6383,CT001,D,3,3,D
6384,6388,CT001,D,4,4,D
6389,6389,CT001,D,3,3,D
6390,6401,CT001,D,4,4,D
6403,6403,CT001,D,3,3,D
6404,6405,CT001,D,4,4,D
6408,6412,CT001,D,3,3,D
6413,6413,CT001,D,4,4,D
6414,6417,CT001,D,3,3,D
6418,6418,CT001,D,4,4,D
6419,6439,CT001,D,3,3,D
6440,6440,CT001,D,4,4,D
6441,6459,CT001,D,3,3,D
6460,6461,CT001,D,4,4,D
6467,6467,CT001,D,3,3,D
6468,6468,CT001,D,4,4,D
6469,6469,CT001,D,3,3,D
6470,6470,CT001,D,4,4,D
6471,6475,CT001,D,3,3,D
6477,6477,CT001,D,4,4,D
6478,6481,CT001,D,3,3,D
6482,6484,CT001,D,4,4,D
6487,6489,CT001,D,3,3,D
6491,6491,CT001,D,4,4,D
6492,6498,CT001,D,3,3,D
6501,6503,CT001,D,8,8,D
6504,6504,CT001,D,3,3,D
6505,6509,CT001,D,8,8,D
6510,6519,CT001,D,3,3,D
6520,6521,CT001,D,8,8,D
6524,6524,CT001,D,3,3,D
6525,6525,CT001,D,4,4,D
6530,6536,CT001,D,8,8,D
6537,6538,CT001,D,3,3,D
6540,6540,CT001,D,4,4,D
6601,6601,CT001,D,8,8,D
6602,6602,CT001,D,4,4,D
6604,6615,NY001,D,4,4,D
6673,6699,CT001,D,4,4,D
6701,6716,CT001,D,3,3,D
6720,6726,CT001,D,8,8,D
6749,6750,CT001,D,3,3,D
6751,6752,CT001,D,4,4,D
6753,6754,CT001,D,3,3,D
6755,6755,CT001,D,4,4,D
6756,6756,CT001,D,3,3,D
6757,6757,CT001,D,4,4,D
6758,6770,CT001,D,3,3,D
6776,6776,CT001,D,4,4,D
6777,6782,CT001,D,3,3,D
6783,6785,CT001,D,4,4,D
6786,6792,CT001,D,3,3,D
6793,6793,CT001,D,4,4,D
6794,6795,CT001,D,3,3,D
6796,6796,CT001,D,4,4,D
6798,6798,CT001,D,3,3,D
6801,6804,CT001,D,4,4,D
6807,6807,NY001,D,4,4,D
6810,6812,CT001,D,4,4,D
6813,6813,CT001,D,8,8,D
6816,6816,CT001,D,4,4,D
6820,6825,NY001,D,4,4,D
6828,6829,CT001,D,4,4,D
6830,6831,NY001,D,4,4,D
6836,6836,CT001,D,8,8,D
6838,6838,CT001,D,4,4,D
6840,6851,NY001,D,4,4,D
6852,6852,CT001,D,8,8,D
6853,6855,NY001,D,4,4,D
6856,6856,NY001,D,8,8,D
6857,6860,CT001,D,4,4,D
6870,6870,NY001,D,4,4,D
6875,6876,CT001,D,4,4,D
6877,6878,NY001,D,4,4,D
6879,6879,CT001,D,4,4,D
6880,6880,NY001,D,4,4,D
6881,6881,CT001,D,8,8,D
6883,6883,NY001,D,4,4,D
6888,6889,CT001,D,4,4,D
6890,6890,NY001,D,4,4,D
6896,6896,CT001,D,4,4,D
6897,6903,NY001,D,4,4,D
6904,6904,CT001,D,4,4,D
6905,6907,NY001,D,4,4,D
6910,6910,CT001,D,4,4,D
6911,6912,CT001,D,8,8,D
6913,6927,CT001,D,4,4,D
7001,7006,NJ006,D,3,3,D
7007,7007,NJ006,D,8,8,D
7008,7014,NJ006,D,3,3,D
7015,7015,NJ006,D,8,8,D
7016,7018,NJ006,D,3,3,D
7019,7019,NJ006,D,8,8,D
7020,7050,NJ006,D,3,3,D
7051,7051,NJ006,D,8,8,D
7052,7060,NJ006,D,3,3,D
7061,7061,NJ006,D,8,8,D
7062,7090,NJ006,D,3,3,D
7091,7091,NJ006,D,8,8,D
7092,7095,NJ006,D,3,3,D
7096,7096,NJ006,D,8,8,D
7097,7099,NJ006,D,3,3,D
7101,7101,NJ006,D,8,8,D
7102,7307,NJ006,D,3,3,D
7308,7308,NJ006,D,8,8,D
7310,7417,NJ006,D,3,3,D
7418,7418,NJ006,D,4,4,D
7419,7421,NJ006,D,3,3,D
7422,7422,NJ006,D,4,4,D
7423,7450,NJ006,D,3,3,D
7451,7451,NJ006,D,8,8,D
7452,7460,NJ006,D,3,3,D
7461,7462,NJ006,D,4,4,D
7463,7470,NJ006,D,3,3,D
7474,7474,NJ006,D,8,8,D
7480,7506,NJ006,D,3,3,D
7507,7507,NJ006,D,8,8,D
7508,7508,NJ006,D,3,3,D
7509,7509,NJ006,D,8,8,D
7510,7510,NJ006,D,3,3,D
7511,7511,NJ006,D,8,8,D
7512,7524,NJ006,D,3,3,D
7533,7544,NJ006,D,8,8,D
7601,7601,NJ006,D,3,3,D
7602,7602,NJ006,D,8,8,D
7603,7652,NJ006,D,3,3,D
7653,7653,NJ006,D,8,8,D
7656,7710,NJ006,D,3,3,D
7711,7715,NJ006,D,4,4,D
7716,7716,NJ006,D,3,3,D
7717,7717,NJ006,D,4,4,D
7718,7718,NJ006,D,3,3,D
7719,7720,NJ006,D,4,4,D
7721,7722,NJ006,D,3,3,D
7723,7723,NJ006,D,4,4,D
7724,7726,NJ006,D,3,3,D
7727,7727,NJ006,D,4,4,D
7728,7730,NJ006,D,3,3,D
7731,7731,NJ006,D,4,4,D
7732,7739,NJ006,D,3,3,D
7740,7740,NJ006,D,4,4,D
7746,7748,NJ006,D,3,3,D
7750,7750,NJ006,D,4,4,D
7751,7752,NJ006,D,3,3,D
7753,7757,NJ006,D,4,4,D
7758,7760,NJ006,D,3,3,D
7762,7762,NJ006,D,4,4,D
7763,7801,NJ006,D,3,3,D
7802,7802,NJ006,D,8,8,D
7803,7821,NJ006,D,3,3,D
7822,7827,NJ006,D,4,4,D
7828,7828,NJ006,D,3,3,D
7829,7833,NJ006,D,4,4,D
7834,7837,NJ006,D,3,3,D
7838,7839,NJ006,D,4,4,D
7840,7843,NJ006,D,3,3,D
7844,7844,NJ006,D,4,4,D
7845,7845,NJ006,D,3,3,D
7846,7846,NJ006,D,4,4,D
7847,7850,NJ006,D,3,3,D
7851,7851,NJ006,D,4,4,D
7852,7853,NJ006,D,3,3,D
7855,7855,NJ006,D,4,4,D
7856,7857,NJ006,D,3,3,D
7860,7865,NJ006,D,4,4,D
7866,7869,NJ006,D,3,3,D
7870,7870,NJ006,D,4,4,D
7871,7874,NJ006,D,3,3,D
7875,7875,NJ006,D,4,4,D
7876,7876,NJ006,D,3,3,D
7877,7877,NJ006,D,4,4,D
7878,7878,NJ006,D,3,3,D
7879,7882,NJ006,D,4,4,D
7885,7885,NJ006,D,3,3,D
7890,7890,NJ006,D,4,4,D
7901,7901,NJ006,D,3,3,D
7902,7902,NJ006,D,8,8,D
7920,7961,NJ006,D,3,3,D
7962,7963,NJ006,D,8,8,D
7970,7999,NJ006,D,3,3,D
8001,8001,PA014,D,4,4,D
8002,8004,PA014,D,3,3,D
8005,8006,PA014,D,4,4,D
8007,8007,PA014,D,3,3,D
8008,8008,PA014,D,4,4,D
8009,8037,PA014,D,3,3,D
8038,8038,PA014,D,4,4,D
8039,8049,PA014,D,3,3,D
8050,8050,PA014,D,4,4,D
8051,8069,PA014,D,3,3,D
8070,8070,PA014,D,4,4,D
8071,8071,PA014,D,3,3,D
8072,8072,PA014,D,4,4,D
8073,8078,PA014,D,3,3,D
8079,8079,PA014,D,4,4,D
8080,8086,PA014,D,3,3,D
8087,8087,PA014,D,4,4,D
8088,8091,PA014,D,3,3,D
8092,8092,PA014,D,4,4,D
8093,8110,PA014,D,3,3,D
8201,8215,PA014,D,4,4,D
8217,8217,PA014,D,3,3,D
8218,8311,PA014,D,4,4,D
8312,8312,PA014,D,3,3,D
8313,8317,PA014,D,4,4,D
8318,8318,PA014,D,3,3,D
8319,8321,PA014,D,4,4,D
8322,8322,PA014,D,3,3,D
8323,8327,PA014,D,4,4,D
8328,8328,PA014,D,3,3,D
8329,8342,PA014,D,4,4,D
8343,8344,PA014,D,3,3,D
8345,8361,PA014,D,4,4,D
8362,8362,PA014,D,8,8,D
8401,8403,PA014,D,4,4,D
8404,8404,PA014,D,8,8,D
8405,8406,PA014,D,4,4,D
8501,8526,PA014,D,3,3,D
8527,8527,PA014,D,4,4,D
8528,8542,PA014,D,3,3,D
8543,8543,PA014,D,8,8,D
8544,8555,PA014,D,3,3,D
8556,8556,PA014,D,4,4,D
8557,8562,PA014,D,3,3,D
8601,8607,PA014,D,8,8,D
8608,8620,PA014,D,3,3,D
8625,8625,PA014,D,8,8,D
8628,8695,PA014,D,3,3,D
8701,8732,PA014,D,4,4,D
8733,8733,PA014,D,3,3,D
8734,8753,PA014,D,4,4,D
8754,8754,PA014,D,8,8,D
8755,8755,PA014,D,4,4,D
8756,8756,PA014,D,8,8,D
8757,8758,PA014,D,4,4,D
8759,8759,PA014,D,3,3,D
8801,8801,NJ006,D,3,3,D
8802,8804,NJ006,D,4,4,D
8805,8807,NJ006,D,3,3,D
8808,8809,NJ006,D,4,4,D
8810,8812,NJ006,D,3,3,D
8816,8816,EWR,D,2,1,D
8817,8817,NJ006,D,3,3,D
8818,8818,NJ006,D,8,8,D
8820,8821,NJ006,D,3,3,D
8822,8822,NJ006,D,4,4,D
8823,8824,NJ006,D,3,3,D
8825,8827,NJ006,D,4,4,D
8828,8828,NJ006,D,3,3,D
8829,8829,NJ006,D,4,4,D
8830,8833,NJ006,D,3,3,D
8834,8834,NJ006,D,4,4,D
8835,8846,NJ006,D,3,3,D
8848,8848,NJ006,D,4,4,D
8850,8852,NJ006,D,3,3,D
8853,8853,NJ006,D,4,4,D
8854,8854,NJ006,D,3,3,D
8855,8855,NJ006,D,8,8,D
8857,8861,NJ006,D,3,3,D
8862,8862,NJ006,D,8,8,D
8863,8863,NJ006,D,3,3,D
8865,8868,NJ006,D,4,4,D
8869,8885,NJ006,D,3,3,D
8886,8886,NJ006,D,4,4,D
8887,8902,NJ006,D,3,3,D
8903,8903,NJ006,D,8,8,D
8904,8904,NJ006,D,3,3,D
8906,8906,NJ006,D,8,8,D
8933,10007,NJ006,D,3,3,D
10008,10008,NJ006,D,8,8,D
10009,10090,NJ006,D,3,3,D
10101,10101,NJ006,D,8,8,D
10103,10107,NJ006,D,3,3,D
10108,10108,NJ006,D,8,8,D
10110,10112,NJ006,D,3,3,D
10113,10113,NJ006,D,8,8,D
10115,10115,NJ006,D,3,3,D
10116,10116,NJ006,D,8,8,D
10118,10128,NJ006,D,3,3,D
10129,10129,NJ006,D,8,8,D
10130,10131,NJ006,D,3,3,D
10150,10150,NJ006,D,8,8,D
10151,10155,NJ006,D,3,3,D
10156,10156,NJ006,D,8,8,D
10158,10158,NJ006,D,3,3,D
10159,10161,NJ006,D,8,8,D
10162,10162,NJ006,D,3,3,D
10163,10163,NJ006,D,8,8,D
10164,10179,NJ006,D,3,3,D
10185,10185,NJ006,D,8,8,D
10199,10199,NJ006,D,3,3,D
10249,10249,NJ006,D,8,8,D
10256,10265,NJ006,D,3,3,D
10268,10268,NJ006,D,8,8,D
10269,10271,NJ006,D,3,3,D
10272,10274,NJ006,D,8,8,D
10275,10275,NJ006,D,3,3,D
10276,10276,NJ006,D,8,8,D
10277,10312,NJ006,D,3,3,D
10313,10313,NJ006,D,8,8,D
10314,10314,NJ006,D,3,3,D
10451,10475,NY001,D,3,3,D
10501,10521,NY001,D,4,4,D
10522,10522,NY001,D,3,3,D
10523,10527,NY001,D,4,4,D
10528,10528,NY001,D,3,3,D
10530,10537,NY001,D,4,4,D
10538,10538,NY001,D,3,3,D
10540,10542,NY001,D,4,4,D
10543,10543,NY001,D,3,3,D
10545,10549,NY001,D,4,4,D
10550,10550,NY001,D,3,3,D
10551,10551,NY001,D,8,8,D
10552,10553,NY001,D,3,3,D
10560,10570,NY001,D,4,4,D
10573,10573,NY001,D,3,3,D
10576,10579,NY001,D,4,4,D
10580,10583,NY001,D,3,3,D
10587,10598,NY001,D,4,4,D
10601,10602,NY001,D,3,3,D
10603,10604,NY001,D,4,4,D
10605,10606,NY001,D,3,3,D
10607,10607,NY001,D,4,4,D
10610,10801,NY001,D,3,3,D
10802,10802,NY001,D,8,8,D
10803,10805,NY001,D,3,3,D
10901,10901,NJ006,D,3,3,D
10910,10910,NY015,D,3,3,D
10911,10911,NJ006,D,4,4,D
10912,10912,NY015,D,4,4,D
10913,10913,NJ006,D,3,3,D
10914,10919,NY015,D,3,3,D
10920,10920,NJ006,D,3,3,D
10921,10921,NY015,D,4,4,D
10922,10922,NY015,D,3,3,D
10923,10923,NJ006,D,3,3,D
10924,10924,NY015,D,3,3,D
10925,10925,NY015,D,4,4,D
10926,10926,NY015,D,3,3,D
10927,10927,NJ006,D,3,3,D
10928,10930,NY015,D,3,3,D
10931,10931,NJ006,D,3,3,D
10932,10932,NY015,D,3,3,D
10933,10933,NY015,D,4,4,D
10940,10941,NY015,D,3,3,D
10949,10949,NY015,D,8,8,D
10950,10950,NY015,D,3,3,D
10952,10952,NJ006,D,3,3,D
10953,10953,NY015,D,3,3,D
10954,10956,NJ006,D,3,3,D
10958,10958,NY015,D,3,3,D
10959,10959,NY015,D,4,4,D
10960,10962,NJ006,D,3,3,D
10963,10963,NY015,D,4,4,D
10964,10968,NJ006,D,3,3,D
10969,10969,NY015,D,4,4,D
10970,10970,NJ006,D,3,3,D
10973,10973,NY015,D,3,3,D
10974,10974,NJ006,D,3,3,D
10975,10975,NY015,D,4,4,D
10976,10977,NJ006,D,3,3,D
10979,10979,NY015,D,4,4,D
10980,10980,NJ006,D,3,3,D
10981,10981,NY015,D,4,4,D
10982,10984,NJ006,D,3,3,D
